strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Egypt/NRC-6823/2020	EPI_ISL_2232358		Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Rabeh El-Shesheny et al
hCoV-19/Egypt/NRC-6985/2020	EPI_ISL_2232354		Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Rabeh El-Shesheny et al
hCoV-19/China/FU-P196-A-4/2020	EPI_ISL_19023547		School of Life Science, Fudan University	School of Life Science, Fudan University	Lv et al
hCoV-19/China/FU-P196-C-4/2020	EPI_ISL_19023545		School of Life Science, Fudan University	School of Life Science, Fudan University	Lv et al
hCoV-19/China/FU-P196-B-4/2020	EPI_ISL_19023542		School of Life Science, Fudan University	School of Life Science, Fudan University	Lv et al
hCoV-19/USA/NY-NYCPHL-000732/2020	EPI_ISL_632114		Brookdale University Hospital Medical Center	New York City Public Health Laboratory	Jade Wang et al
hCoV-19/France/PDL-1643/2020	EPI_ISL_414625		Centre Hospitalier Régional Universitaire de Nantes Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert et al (https://dx.doi.org/10.1101/2020.04.24.059576)
hCoV-19/Morocco/RMPS-04/2020	EPI_ISL_469052		LNR National Reference Laboratory, Mohammed VI University of Health Sciences	Medical Biotechnology Laboratory, Rabat Medical and Pharmacy School, Mohammed The Vth University in Rabat	Meriem LAAMARTI et al (https://www.biorxiv.org/content/10.1101/2020.06.30.181123v1)
hCoV-19/USA/UT-UPHL-05273/2020	EPI_ISL_560869	MW054122.1	Utah Public Health Laboratory	Utah Public Health Laboratory	Erin Young et al
hCoV-19/USA/AZ-TGEN-TG269358/2020	EPI_ISL_426586		TGen North	TGen North	Jolene Bowers et al
hCoV-19/USA/MO-MSPHL-000885/2020	EPI_ISL_2035496		Missouri State Public Health Laboratory	Missouri State Public Health Laboratory	Matthew Sinn et al
hCoV-19/USA/TX-HMH-MCoV-39817/2020	EPI_ISL_2222410		Houston Methodist Hospital	Houston Methodist Hospital	Randall J. Olsen et al
hCoV-19/Coted-Ivoire/COV-BKE1145/bc61/2020	EPI_ISL_1663664		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
hCoV-19/Coted-Ivoire/BKE0994/2020	EPI_ISL_614395		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
hCoV-19/Algeria/9822/2020	EPI_ISL_15928056		NIC, Viral Respiratory Unit	NIC, Viral Respiratory Unit	Mohamed Amine Beloufa et al
hCoV-19/Algeria/71348/2020	EPI_ISL_15928083		NIC, Viral Respiratory Unit	NIC, Viral Respiratory Unit	Mohamed Amine Beloufa et al
hCoV-19/Niger/M82A/2021	EPI_ISL_3804268		CERMES	Institut Pasteur de Dakar	Adamou Lagare et al
hCoV-19/Algeria/50627/2020	EPI_ISL_15928081		NIC, Viral Respiratory Unit	NIC, Viral Respiratory Unit	Mohamed Amine Beloufa et al
hCoV-19/Egypt/MASRI-C4-036/2020	EPI_ISL_1109485		Medical Ain Shams Research Institute (MASRI), Ain Shams University	Medical Ain Shams Research Institute (MASRI), Ain Shams University	Hesham Elghazaly et al
hCoV-19/Kenya/KEM-20-11-83425/2020	EPI_ISL_15266638		KEMRI VHF/FLU LAB	KEMRI VHF/FLU LAB	Chepkorir E. et al
hCoV-19/Kenya/C57639/2020	EPI_ISL_3049415	OK487803.1	KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/Australia/VIC-FJ018/2020	EPI_ISL_17880768		Fiji Centre for Communicable Disease Control	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Sahukhan et al
hCoV-19/Singapore/287/2020	EPI_ISL_462405		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Algeria/G40009-8862/2020	EPI_ISL_766873		NIC Viral Respiratory Unit - Institut Pasteur of Algeria	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al
hCoV-19/Norway/2397/2020	EPI_ISL_2612130		Vestfold Hospital, Toensberg Department of Microbiology	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
hCoV-19/China/FU-P117-B-3/2020	EPI_ISL_19023730		School of Life Science, Fudan University	School of Life Science, Fudan University	Lv et al
hCoV-19/USA/CA-CDPH-2000048628/2021	EPI_ISL_3244415		California Department of Public Health Valencia Branch Laboratory	California Department of Public Health	Emily A. Smith et al.
hCoV-19/USA/NY-PRL-2021_0614_51P07/2021	EPI_ISL_2634598		Pandemic Response Lab - NYC	Pandemic Response Lab, R&D	Henry Lee et al
hCoV-19/Ecuador/NIC-INSPI-333260/2021	EPI_ISL_2988476		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al
hCoV-19/Guatemala/12523/2021	EPI_ISL_3275179		Laboratorio Nacional de Salud, Ministerio de Salud Publica y Asistencia Social	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	César Roberto Conde Pereira et al
hCoV-19/Guatemala/19544/2020	EPI_ISL_837552		Laboratorio Nacional de Salud	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/USA/TX-DSHS-0380/2020	EPI_ISL_538316	MW115014.1	Texas Department of State Health Services	Texas Department of State Health Services	Bonnie Oh et al
hCoV-19/USA/TX-HMH-MCoV-8082/2020	EPI_ISL_784185		Houston Methodist Hospital	Houston Methodist Hospital	S. Wesley Long et al
hCoV-19/Thailand/BIDI-63039985__2019/2020	EPI_ISL_12717927		Bamrasnaradura Infectious Disease Institute	Molecular HIV and Emerging Infectious Diseases Laboratory, Bamrasnaradura Infectious Diseases Institute (BIDI), Department of Disease Control (DDC), Ministry of Public Health (MOPH)	Sumonmal Uttayamakul et al
hCoV-19/Germany/NW-KRO-783/2020	EPI_ISL_2870322		MVZ Labor Krone GbR	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	Dennis Deschka et al
hCoV-19/USA/FL-BPHL-2524/2020	EPI_ISL_848877		Florida Bureau of Public Health Laboratories	Florida Bureau of Public Health Laboratories	Sarah Schmedes et al
hCoV-19/USA/KS-KHEL-1763/2020	EPI_ISL_2157295		Kansas Health and Environmental Lab	Kansas Health and Environmental Lab	Mike Grose et al
hCoV-19/USA/CA-CDPH-3000004599/2021	EPI_ISL_12977649		California Department of Public Health Valencia Branch Laboratory	California Department of Public Health	Emily A. Smith et al.
hCoV-19/USA/CA-CDPH-2000014016/2020	EPI_ISL_7581761	OL844581.1	California Department of Public Health	California Department of Public Health	Emily A. Smith et al.
hCoV-19/USA/ID-IVREF-680715/2020	EPI_ISL_7674513		Idaho Bureau of Laboratories	BVAMC, RD	"""R. Beukelman et al"
hCoV-19/USA/UT-UPHL-2103013382/2021	EPI_ISL_1404044	MW837271.1	Utah Public Health Laboratory	Utah Public Health Laboratory	Erin L. Young et al
hCoV-19/USA/MT-Walk-1876/2020	EPI_ISL_14088591		Montana Public Health Laboratory	The Walk Lab, Montana State University	Seth Walk et al
hCoV-19/USA/WY-WYPHL-20124441/2020	EPI_ISL_3099566		Wyoming Public Health Laboratory	Wyoming Public Health Laboratory	Jim Mildenberger et al
hCoV-19/USA/TN-2-42516-3/2020	EPI_ISL_17404334		UTMG Pathology LLC	UTMG Pathology LLC	Aaron Vancil et al
hCoV-19/USA/WA-PHL-000144/2021	EPI_ISL_1399249		Washington State Department of Health Public Health Laboratories	Washington State Department of Health Public Health Laboratories	Drew MacKellar et al
hCoV-19/Canada/BC-BCCDC-369670/2021	EPI_ISL_11362315		British Columbia Centre For Disease Control	BCCDC Public Health Laboratory	Prystajecky Natalie et al
hCoV-19/USA/FL-BPHL-2436/2020	EPI_ISL_849086	MW490857.1	Florida Bureau of Public Health Laboratories	Florida Bureau of Public Health Laboratories	Sarah Schmedes et al
hCoV-19/USA/MN-MDH-1936/2020	EPI_ISL_613490	MW202177.1	Public Health Laboratory - Infectious Disease Lab, Minnesota Department of Health Infectious Disease Laboratory Submission Group	Minnesota Department of Health, Public Health Laboratory	Plumb et al
hCoV-19/Afghanistan/2870x0095_23703/2021	EPI_ISL_4572780		Afghanistan	WRAIR	Irina Maljkovic Berry et al
hCoV-19/Vietnam/BT-58/2020	EPI_ISL_17383071		CDC Bình Thuận, Vietnam	Department of Microbiology and Immunology, Pasteur Institute in Nha Trang	Trinh Hoang Long et al
hCoV-19/USA/CT-Yale-149/2020	EPI_ISL_435719	MT886444.1	Connecticut State Department of Public Health	Grubaugh Lab - Yale School of Public Health	Joseph Fauver et al
hCoV-19/Botswana/BOT0455/2020	EPI_ISL_560386		National Health Laboratory	Botswana Institute for Technology Research and innovation	Kefentse Arnold Tumedi et al
hCoV-19/China/FU-P87-F-3/2020	EPI_ISL_19023530		School of Life Science, Fudan University	School of Life Science, Fudan University	Lv et al
hCoV-19/Somalia/CV1175/2020	EPI_ISL_2107098		National Institute of Health (NIH) - Federal Government of Somalia	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
hCoV-19/Finland/3KS4G31/2020	EPI_ISL_1240690		Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
hCoV-19/Argentina/PAIS-A0195/2020	EPI_ISL_792284		Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Nabaes Jodar et al
hCoV-19/Argentina/INEI103436/2021	EPI_ISL_2135708		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al
hCoV-19/China/FU-P178-4/2020	EPI_ISL_19023710		School of Life Science, Fudan University	School of Life Science, Fudan University	Lv et al
hCoV-19/Mexico/CMX-INMEGEN-03-11-110/2020	EPI_ISL_4219748		Instituto Nacional de Medicina Genomica	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/USA/FL-BPHL-3632/2020	EPI_ISL_18742097		Florida Bureau of Public Health Laboratories	Florida Bureau of Public Health Laboratories	Molly Mitchell et al
hCoV-19/SouthKorea/KCDC2388/2020	EPI_ISL_514791		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
hCoV-19/SouthKorea/KDCA0580/2020	EPI_ISL_850266		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al
hCoV-19/SouthKorea/KDCA4551/2021	EPI_ISL_2464305		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al
hCoV-19/SouthKorea/KDCA1712/2021	EPI_ISL_1138981		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al
hCoV-19/SriLanka/KDU0132/2020	EPI_ISL_3664353		Biomedical Laboratory 2	Biomedical Laboratory 2	HS Jayasinghearachchi et al
hCoV-19/USA/MA-Yale-1707/2020	EPI_ISL_1168429		VA Connecticut Healthcare System	Grubaugh Lab - Yale School of Public Health	Mary Petrone et al
hCoV-19/Egypt/MASRI-028/2020	EPI_ISL_483038		Medical Ain Shams Research Institute (MASRI), Ain Shams University	Medical Ain Shams Research Institute (MASRI), Ain Shams University	Hesham Elghazaly et al
hCoV-19/Belgium/ITM_C406/2020	EPI_ISL_434386		Hospital AZ Rivierenland	Institute of Tropical Medicine	Philippe Selhorst et al
hCoV-19/China/FU-P130-B-3/2020	EPI_ISL_19023862		School of Life Science, Fudan University	School of Life Science, Fudan University	Lv et al
hCoV-19/USA/MN-Mayo20277/2020	EPI_ISL_13681683		Dept. Clinical Microbiology/Mayo Clinic	Dept. Clinical Microbiology/Mayo Clinic	Pritt Bobbi Norgan Andrew et al
hCoV-19/Canada/BC-BCCDC-4233/2020	EPI_ISL_969269		BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
hCoV-19/USA/WY-CDC-2-4044630/2020	EPI_ISL_903803	MW550686.1	WY Public Health Laboratory	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al B
hCoV-19/USA/TX-HMH-MCoV-24149/2021	EPI_ISL_1078703		Houston Methodist Hospital	Houston Methodist Hospital	S. Wesley Long et al
hCoV-19/USA/MN-Mayo2972/2020	EPI_ISL_13680850		Dept. Clinical Microbiology/Mayo Clinic	Dept. Clinical Microbiology/Mayo Clinic	Pritt Bobbi Norgan Andrew et al
hCoV-19/Cambodia/VIR2107864/2021	EPI_ISL_1096139		Cambodian National Public Health Laboratory, National Institute of Public Health	Virology Unit, Institut Pasteur du Cambodge	Sokhoun Yann et al
hCoV-19/Spain/CM-ISCIII-212396/2021	EPI_ISL_1665149		CONSEJERIA DE SANIDAD Y ASUNTOS SOCIALES	Instituto de Salud Carlos III	Vázquez-Morón et al
hCoV-19/SriLanka/CA103847/2021	EPI_ISL_1233068		Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara et al
hCoV-19/SriLanka/CMC69934/2021	EPI_ISL_1717046		Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara et al
hCoV-19/Iraq/BAS-1/2020	EPI_ISL_956332	MW512847.1	Department of Biology, University of Basrah	Department of Biology, University of Basrah	Abu-Ali et al
hCoV-19/Iraq/USAFSAM-S078/2020	EPI_ISL_812273		Landstuhl Regional Medical Center	United States Air Force School of Aerospace Medicine	Anthony Fries et al
hCoV-19/Turkey/HSGM-B4545/2021	EPI_ISL_3032715		Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al A
hCoV-19/Angola/CERI-KRISP-K013525/2020	EPI_ISL_2492791		Instituto Nacional de Investigação em Saúde	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Morais J et al
hCoV-19/SouthAfrica/NICD-N19829/2020	EPI_ISL_6693624		TSHEPONG LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG et al
hCoV-19/Malawi/CERI-KRISP-K015514/2021	EPI_ISL_2617060		Africa_CDC - Malawi P4 S2	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Mvula B et al
hCoV-19/Angola/CERI-KRISP-K013701/2020	EPI_ISL_2685960		Instituto Nacional de Investigação em Saúde	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Morais J et al
hCoV-19/SouthAfrica/NHLS-UCT-GS-1377/2020	EPI_ISL_700505	OM725589.1	Khayelethu Clinic wc KLC	NHLS/UCT	Houriiyah Tegally et al
hCoV-19/Mozambique/MZ-L-IBV-97025380/2021	EPI_ISL_2442135		Centro de Investigação em Saúde de Manhiça (CISM) & ISGlobal, Institut de Salut Global de Barcelona	Instituto de Biomedicina de València - CSIC	Alfredo Mayor et al
hCoV-19/Tanzania/KIDH-01B03/2021	EPI_ISL_16131912		National Public Health Laboratory	Kibong'oto Infectious Diseases Hospital Laboratory	Shabani Mziray et al
hCoV-19/Zambia/ZMB-70170/2020	EPI_ISL_977291		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Angola/CERI-KRISP-K023611/2021	EPI_ISL_4575147		Instituto Nacional de Investigação em Saúde	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Morais J et al
hCoV-19/SouthAfrica/NICD-N5590/2021	EPI_ISL_2454653		CHRIS HANI BARAGWANATH LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG et al
hCoV-19/Philippines/PH-PGC-19248/2021	EPI_ISL_2189484		Parkway Medical and Diagnostic Center	Philippine Genome Center	Francis A. Tablizo et al
hCoV-19/Philippines/PH-PGC-57282/2021	EPI_ISL_4742128		VITALAB Molecular Laboratory	Philippine Genome Center	Cynthia P. Saloma et al
hCoV-19/Zambia/ZMB-83978/2021	EPI_ISL_2803566		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Tanzania/KIDH-01B04/2021	EPI_ISL_16131913		National Public Health Laboratory	Kibong'oto Infectious Diseases Hospital Laboratory	Shabani Mziray et al
hCoV-19/SouthAfrica/NHLS-UCT-GS-A925/2021	EPI_ISL_1534263		Victoria Hospital wc VHW	NHLS/UCT	Arash Iranzadeh et al
hCoV-19/India/KL-GENESCOV02917/2021	EPI_ISL_7220613		INSACOG-IGIB and Kerala State SARS-COV-2 Genome Surveillance Programme (GENESCOV2)	INSACOG and GENESCOV2 at CSIR Institute of Genomics and Integrative Biology	INSACOG-IGIB et al
hCoV-19/Malawi/CERI-KRISP-K015215/2021	EPI_ISL_2492686		National HIV Reference Laboratory, Ministry of Health, Public Health Institute of Malawi	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Mvula B et al
hCoV-19/Malawi/KRISP-K010154/2020	EPI_ISL_1407115		National HIV Reference Laboratory, Ministry of Health, Public Health Institute of Malawi	KRISP, KZN Research Innovation and Sequencing Platform	Mvula B et al
